Sample1;IR88888-UBN3-4;Sample3;
IR08N121/IR 70114-5-3-3-3;IR08N121;IR 69807-13-2-1;
IR 69428-6-1-1-3-3/IR 01W102;IR08N121;IR 70114-5-3-3-3;
IR 69428-6-1-1-3-3/IRRI 145;IR 69428-6-1-1-3-3;IR 01W102;
IR 69428-6-1-1-3-3/IR 71146-97-1-2-1-3;IR 69428-6-1-1-3-3;IRRI 145;
IR 69428-6-1-1-3-3/IR 71676-90-2-2;IR 69428-6-1-1-3-3;IR 71146-97-1-2-1-3;
IR 87707-118-B-B-B/IR 71701-28-1-4;IR 69428-6-1-1-3-3;IR 71676-90-2-2;
IR 87707-118-B-B-B/IR 72164-348-6-2-2-2;IR 87707-118-B-B-B;IR 71701-28-1-4;
IR 87707-118-B-B-B/IR 72225-20-3-2-3;IR 87707-118-B-B-B;IR 72164-348-6-2-2-2;
IR 87707-118-B-B-B/IR 72870-19-2-2-3;IR 87707-118-B-B-B;IR 72225-20-3-2-3;
IR 87707-446-B-B-B/IR 72875-94-3-3-2;IR 87707-118-B-B-B;IR 72870-19-2-2-3;
IR 87707-446-B-B-B/IR 72903-121-2-1-2;IR 87707-446-B-B-B;IR 72875-94-3-3-2;
IR 87707-446-B-B-B/IR 72967-12-2-3;IR 87707-446-B-B-B;IR 72903-121-2-1-2;
IR 87707-446-B-B-B/IR 72969-143-5-3-6-2;IR 87707-446-B-B-B;IR 72967-12-2-3;
IR 87707-182-B-B-B/IR 73006-12-3-3-2;IR 87707-446-B-B-B;IR 72969-143-5-3-6-2;
IR 87707-182-B-B-B/IR 73012-137-2-2-2;IR 87707-182-B-B-B;IR 73006-12-3-3-2;
IR 87707-182-B-B-B/IR 00A115;IR 87707-182-B-B-B;IR 73012-137-2-2-2;
IR 87707-182-B-B-B/IR 73720-36-3-3-1;IR 87707-182-B-B-B;IR 00A115;
IR 87707-445-B-B-B/IR 00A117;IR 87707-182-B-B-B;IR 73720-36-3-3-1;
IR 87707-445-B-B-B/IR 01A111;IR 87707-445-B-B-B;IR 00A117;
IR 87707-445-B-B-B/IR 01N223;IR 87707-445-B-B-B;IR 01A111;
IR 87707-445-B-B-B/IR 02N200;IR 87707-445-B-B-B;IR 01N223;
IR 87705-83-12-B/IR 02N211;IR 87707-445-B-B-B;IR 02N200;
IR 87705-83-12-B/IR 02A201;IR 87705-83-12-B;IR 02N211;
IR 87705-83-12-B/IR 75862-206-2-8-3-B-B-B;IR 87705-83-12-B;IR 02A201;
IR 87705-83-12-B/IRRI 146;IR 87705-83-12-B;IR 75862-206-2-8-3-B-B-B;
MAJOR/IRRI 143;IR 87705-83-12-B;IRRI 146;
MAJOR/IR 03A477;MAJOR;IRRI 143;
